dataset,group,sample_id,routine_name,variant,gt_latency_s,macro_latency_s,micro_latency_s,final_latency_s,latency_gain_s,latency_gain_pct,validation_pass,rollback_layer_count,diagnostic_depth_with_fail_as_3,runtime_s,failure_type
smart-home,Group4,202,Color-loop Hue lights when Netatmo CO2 gets high,without_micro,12.05,3.919,NA,3.919,8.131,67.48,1,1,1,18.2,
smart-home,Group4,202,Color-loop Hue lights when Netatmo CO2 gets high,action_only,12.05,NA,NA,NA,NA,NA,0,,3,17.6,action_lifecycle_or_resource_violation
smart-home,Group4,203,Turn on SmartThings scene and Hue lights when arriving home,full_floweaver,9.4,3.005,2.69,2.69,6.71,71.38,1,0,0,20.0,
smart-home,Group4,203,Turn on SmartThings scene and Hue lights when arriving home,without_rollback,9.4,3.005,2.69,2.69,6.71,71.38,1,0,0,16.4,
smart-home,Group4,203,Turn on SmartThings scene and Hue lights when arriving home,without_micro,9.4,NA,NA,NA,NA,NA,0,,3,18.2,macro_only_validation_gap
smart-home,Group4,203,Turn on SmartThings scene and Hue lights when arriving home,action_only,9.4,5.564,NA,5.564,3.836,40.81,1,0,0,15.2,
smart-home,Group3,204,Color-loop Hue lights when Netatmo CO2 gets high,full_floweaver,8.79,3.006,2.722,2.722,6.068,69.03,1,3,3,20.86,
smart-home,Group3,204,Color-loop Hue lights when Netatmo CO2 gets high,without_rollback,8.79,NA,NA,NA,NA,NA,0,,3,15.0192,rollback_required
smart-home,Group3,204,Color-loop Hue lights when Netatmo CO2 gets high,without_micro,8.79,3.006,NA,3.006,5.784,65.8,1,3,3,18.9826,
smart-home,Group3,204,Color-loop Hue lights when Netatmo CO2 gets high,action_only,8.79,6.0211,NA,6.0211,2.7688,31.5,1,2,2,17.5224,
smart-home,Group4,205,Send Roborock home and disarm Blink when a Webhook event fires,full_floweaver,15.61,5.307,4.617,4.617,10.993,70.42,1,0,0,17.72,
smart-home,Group4,205,Send Roborock home and disarm Blink when a Webhook event fires,without_rollback,15.61,5.307,4.617,4.617,10.993,70.42,1,0,0,14.5304,
smart-home,Group4,205,Send Roborock home and disarm Blink when a Webhook event fires,without_micro,15.61,5.307,NA,5.307,10.303,66.0,1,0,0,16.1252,
smart-home,Group4,205,Send Roborock home and disarm Blink when a Webhook event fires,action_only,15.61,11.5514,NA,11.5514,4.0586,26.0,1,2,2,14.8848,
smart-home,Group4,206,Change Philips Hue light color when Netatmo detects rain,full_floweaver,9.25,3.07,2.747,2.747,6.503,70.3,1,0,0,19.62,
smart-home,Group4,206,Change Philips Hue light color when Netatmo detects rain,without_rollback,9.25,3.07,2.747,2.747,6.503,70.3,1,0,0,16.0884,
smart-home,Group4,206,Change Philips Hue light color when Netatmo detects rain,without_micro,9.25,3.07,NA,3.07,6.18,66.81,1,0,0,17.8542,
smart-home,Group4,206,Change Philips Hue light color when Netatmo detects rain,action_only,9.25,5.582,NA,5.582,3.668,39.65,1,0,0,14.9112,
smart-home,Group4,207,Turn off SmartThings lights and Kasa outlets at bedtime,full_floweaver,9.98,3.494,3.128,3.128,6.852,68.66,1,1,1,19.24,
smart-home,Group4,207,Turn off SmartThings lights and Kasa outlets at bedtime,without_rollback,9.98,NA,NA,NA,NA,NA,0,,3,13.8528,rollback_required
smart-home,Group4,207,Turn off SmartThings lights and Kasa outlets at bedtime,without_micro,9.98,3.494,NA,3.494,6.486,64.99,1,1,1,17.5084,
smart-home,Group4,207,Turn off SmartThings lights and Kasa outlets at bedtime,action_only,9.98,NA,NA,NA,NA,NA,0,,3,14.6224,action_level_grounding_gap
smart-home,Group4,208,Color-loop Hue lights when Netatmo noise gets loud,full_floweaver,9.87,3.721,3.389,3.389,6.481,65.66,1,3,3,20.12,
smart-home,Group4,208,Color-loop Hue lights when Netatmo noise gets loud,without_rollback,9.87,NA,NA,NA,NA,NA,0,,3,14.4864,rollback_required
smart-home,Group4,208,Color-loop Hue lights when Netatmo noise gets loud,without_micro,9.87,3.721,NA,3.721,6.149,62.3,1,3,3,18.3092,
smart-home,Group4,208,Color-loop Hue lights when Netatmo noise gets loud,action_only,9.87,6.071,NA,6.071,3.799,38.49,1,0,0,15.2912,
smart-home,Group3,209,Turn off SmartThings lights and Kasa outlets at bedtime,full_floweaver,8.61,2.974,2.662,2.662,5.948,69.08,1,1,1,19.24,
smart-home,Group3,209,Turn off SmartThings lights and Kasa outlets at bedtime,without_rollback,8.61,NA,NA,NA,NA,NA,0,,3,13.8528,rollback_required
smart-home,Group3,209,Turn off SmartThings lights and Kasa outlets at bedtime,without_micro,8.61,2.974,NA,2.974,5.636,65.46,1,1,1,17.5084,
