case_id,target_file,case_name,action_count,ble_count,cloud_count,local_count,ha_count,native_latency_s,naive_topo_latency_s,latency_gain_s,latency_gain_pct,validation_pass,validation_failure_type,batch_count,max_batch_width,runtime_s,micro_not_applicable,validation_dir
vdev_vacation_departure_final_audit_01,data/targets/vdev_benchmarks/vdev_vacation_departure_final_audit_01.json,Vacation Departure Final Audit,33,10,10,9,4,28.28,20.14,8.14,28.78,1,,16,4,0.052,True,data/baselines/naive_topo_parallel/latest/validation/vdev_vacation_departure_final_audit_01
vdev_vacation_mode_house_sweep_01,data/targets/vdev_benchmarks/vdev_vacation_mode_house_sweep_01.json,Vacation-Mode House Sweep,25,8,9,4,4,23.18,16.42,6.76,29.16,1,,13,4,0.039,True,data/baselines/naive_topo_parallel/latest/validation/vdev_vacation_mode_house_sweep_01
vdev_weekend_whole_home_snapshot_01,data/targets/vdev_benchmarks/vdev_weekend_whole_home_snapshot_01.json,Weekend Whole-Home Snapshot Routine,23,8,7,4,4,21.38,15.52,5.86,27.41,0,order_violation,12,4,0.0558,True,data/baselines/naive_topo_parallel/latest/validation/vdev_weekend_whole_home_snapshot_01
vdev_weekend_whole_home_snapshot_extended_01,data/targets/vdev_benchmarks/vdev_weekend_whole_home_snapshot_extended_01.json,Weekend Whole-Home Snapshot Extended,24,8,7,5,4,21.5,15.52,5.98,27.81,0,order_violation,12,4,0.0594,True,data/baselines/naive_topo_parallel/latest/validation/vdev_weekend_whole_home_snapshot_extended_01
vdev_weekend_whole_home_snapshot_profile_01,data/targets/vdev_benchmarks/vdev_weekend_whole_home_snapshot_profile_01.json,Weekend Whole-Home Snapshot Profile Coverage,28,8,9,7,4,23.54,15.64,7.9,33.56,0,order_violation,13,4,0.0486,True,data/baselines/naive_topo_parallel/latest/validation/vdev_weekend_whole_home_snapshot_profile_01
vdev_whole_family_morning_comfort_snapshot_01,data/targets/vdev_benchmarks/vdev_whole_family_morning_comfort_snapshot_01.json,Whole-Family Morning Comfort Snapshot,17,6,4,3,4,14.96,11.8,3.16,21.12,1,,9,4,0.0241,True,data/baselines/naive_topo_parallel/latest/validation/vdev_whole_family_morning_comfort_snapshot_01
vdev_whole_home_ble_safety_sweep_01,data/targets/vdev_benchmarks/vdev_whole_home_ble_safety_sweep_01.json,Whole-Home BLE Safety Sweep,15,13,0,0,2,23.5,23.5,0.0,0.0,1,,15,1,0.0211,True,data/baselines/naive_topo_parallel/latest/validation/vdev_whole_home_ble_safety_sweep_01
vdev_whole_home_energy_hvac_audit_profile_01,data/targets/vdev_benchmarks/vdev_whole_home_energy_hvac_audit_profile_01.json,Whole-Home Energy and HVAC Audit Profile Coverage,21,0,13,5,3,12.45,3.82,8.63,69.32,1,,7,4,0.0252,True,data/baselines/naive_topo_parallel/latest/validation/vdev_whole_home_energy_hvac_audit_profile_01
vdev_workday_departure_office_zone_shutdown_01,data/targets/vdev_benchmarks/vdev_workday_departure_office_zone_shutdown_01.json,Workday Departure Office-Zone Shutdown,12,2,2,4,4,6.08,3.82,2.26,37.17,1,,5,4,0.0128,True,data/baselines/naive_topo_parallel/latest/validation/vdev_workday_departure_office_zone_shutdown_01
vdev_workday_focus_mode_01,data/targets/vdev_benchmarks/vdev_workday_focus_mode_01.json,Workday Focus Mode Routine,26,7,12,3,4,23.96,15.4,8.56,35.73,1,,12,4,0.0288,True,data/baselines/naive_topo_parallel/latest/validation/vdev_workday_focus_mode_01
